10.12.124.7	intranet		f6:89:3b:3a:9d:00	
10.12.124.15	sisbar			06:1c:8c:42:58:cc		 
10.12.124.50	SAU-CH-NOTE		1c:39:47:0c:27:37		 
10.12.124.51	SAU-AUX01-NOTE		74:e6:e2:ce:c5:aa		 
10.12.124.52	SAU-AUX02-NOTE		e0:64:95:10:7e:80		 
10.12.124.53	SAU-AUX03-DESK		38:60:77:1a:dc:60		 
10.12.124.54	SAU-AUX04-DESK		00:25:11:b8:67:20		 
10.12.124.55	S2-CH-NOTE		0c:cc:47:e7:c3:3c		 
10.12.124.56	S2-AUX1-NOTE		0c:cc:47:e6:ba:b6		 
10.12.124.57	S2-AUX2-NOTE		a8:1e:84:d9:b0:1c		 
10.12.124.63	SIMB-CH-NOTE		80:fa:5b:a7:31:9a		 
10.12.124.68	PST-CH-DESK		38:60:77:1a:e5:a9		 
10.12.124.69	PST-AUX04-DESK		06:f0:49:f7:c0:40		 
10.12.124.70	PST-AUX05-DESK		00:24:1d:f9:50:91		 
10.12.124.77	CCAP-CMT-DESK		38:60:77:1a:d5:7a		 
10.12.124.78	SGTECCAP-CH-DESK	84:2b:2b:7c:07:41		 
10.12.124.79	SGTECCAP-AUX01-DESK	00:24:1d:f9:46:90		 
10.12.124.80	SGTECCAP-AUX02-DESK	38:60:77:1a:d4:d3		 
10.12.124.81	SGTECCAP-AUX03-DESK	e0:69:95:19:60:69		 
10.12.124.94	SGTECLS-CH-DESK		d8:5e:d3:f0:41:29		 
10.12.124.95	SGTECLS-AUX01-DESK	e0:69:95:19:46:14		 
10.12.124.96	SGTECLS-AUX02-DESK	70:71:bc:f7:28:fb		 
10.12.124.97	SGTECLS-AUX04-DESK	84:2b:2b:70:07:68		 
10.12.124.105	CMNT-ADJ-DESK		1e:c9:d3:54:48:29		 
10.12.124.106	PO-CH-DESK		38:60:77:13:ef:23		 
10.12.124.110	ALMOX-CH-DESK		80:fa:5b:a6:ff:15		 
10.12.124.111	ALMOX-ADJ-DESK		a8:a1:59:6a:31:2c		 
10.12.124.112	ALMOX-AUX02-DESK	70:71:bc:f7:2b:3f		 
10.12.124.113	ALMOX-AUX03-DESK	d4:30:7e:c2:59:bc		 
10.12.124.114	ALMOX-AUX04-DESK	80:fa:5b:a7:31:a2		 
10.12.124.115	ALMOX-AUX05-2BLOG	10:78:d2:b4:92:6f		 
10.12.124.123	S1-CH-DESK		1c:69:7a:ec:5b:d2		 
10.12.124.124	S1-AUX01-DESK		90:2b:34:f3:a5:8c		 
10.12.124.125	S1-AUX02-DESK		6c:f0:49:f0:f0:97		 
10.12.124.126	S1-AUX03-DESK		38:60:77:1a:d3:9f		 
10.12.124.150	S3-CH-DESK		1c:69:7a:ec:5f:6a		 
10.12.124.151	S3-AUX02-DESK		c8:9c:dc:40:2c:14		 
10.12.124.152	S3-AUX04-DESK		40:61:86:ff:5d:1b		 
10.12.124.163	S4-CH-DESK		1c:69:7a:ec:56:69		 
10.12.124.164	S4-AUX01-DESK		e0:69:95:10:7d:23		 
10.12.124.165	S4-AUX02-DESK		00:24:1d:f9:4f:1f		 
10.12.124.166	S4-AUX03-DESK		84:2b:2b:7c:0b:b2		 
10.12.124.176	COL-CH-DESK		1c:69:7a:ef:d5:d2		 
10.12.124.177	COL-AUX01-DESK		70:71:bc:85:d9:40		 
10.12.124.178	COL-AUX02-DESK		e0:69:95:10:7e:cc		 
10.12.124.179	COL-AUX03-DESK		90:2b:34:f3:a4:eb		 
10.12.124.180	COL-AUX04-DESK		e0:69:95:19:5f:fd		 
10.12.124.191	FISC-CH-DESK		12:0b:a9:47:d2:48		 
10.12.124.192	FISC-AUX02-DESK		1c:69:7a:ef:d5:73		 
10.12.124.193	FISC-AUX03-DESK		70:71:bc:f7:2e:83		 
10.12.124.194	FISC-AUX04-DESK		6c:f0:49:f1:5f:33		 
10.12.124.195	FISC-AUX05-DESK		70:71:bc:85:e1:63		 
10.12.124.207	SALC-CH-DESK		02:d7:6d:27:31:70		 
10.12.124.208	SALC-ADJ-DESK		80:fa:5b:a6:ff:3a		 
10.12.124.209	SALC-AUX03-DESK		90:2b:34:f3:a5:35		 
10.12.124.210	SALC-AUX04-DESK		70:71:bc:f7:36:62		 
10.12.124.211	SALC-AUX02-DESK		90:2b:34:f3:a5:6b		 
10.12.124.212	SALC-AUX01-DESK		a8:a1:59:96:54:d9		 
10.12.124.222	TES-CH-NOTE		5c:c9:d3:eb:2f:7f		 
10.12.124.223	TES-ADJ-DESK		1c:69:7a:e9:88:6f		 
10.12.124.224	TES-AUX01-DESK		e0:69:95:ed:09:16		 
10.12.124.225	TES-AUX02-DESK		e0:69:95:3b:21:fd		 
10.12.124.226	TES-AUX03-DESK		90:2b:34:f3:a5:f0		 
10.12.124.227	TES-AUX04-DESK		1c:39:47:0b:fb:1f		 
10.12.124.233	CONF-CH-DESK		1c:69:7a:e7:29:9c		 
10.12.124.234	CONF-AUX02-DESK		00:1c:c4:10:9e:5d		 
10.12.124.241	JUR-CH-DESK		00:24:1d:f9:4d:05		 
10.12.124.249	PELPESADO-CH-DESK	90:2b:34:f3:a4:7b		 
10.12.124.250	PELPESADO-AUX01-DESK	e0:69:95:10:78:8f		 
10.12.124.251	PELPESADO-AUX02-DESK	00:40:a7:1e:13:fa		 
10.12.124.252	PELPESADO-AUX03-DESK	34:e6:d7:56:0f:b3		 
10.12.125.1	PELCOM-CH-DESK		1c:69:7a:ef:cf:b4		 
10.12.125.2	PELCOM-ADJ-DESK		1c:69:7a:ec:57:e0		 
10.12.125.3	PELCOM-ENCMAT-DESK	d8:5e:d3:f0:40:e1		 
10.12.125.5	PELCOM-AUX03-DESK	d8:5e:d3:f0:40:69		 
10.12.125.6	PELCOM-AUX02-DESK	50:3e:aa:0e:1f:60		 
10.12.125.7	PELCOM-AUX01-DESK	bc:5f:f4:46:ba:55		 
